"","CommonName","ScientificName","Order","Family","MeanLog","SDLog","Median","SD"
"1865","Cinereous Vulture","Aegypius monachus","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",14.9324380312955,2.28750428967115,3055451.808968,9.8503234250082
"1866","Yellow-rumped Flycatcher","Ficedula zanthopygia","Passeriformes","Muscicapidae (Old World Flycatchers)",14.8733884136029,2.26593514582693,2880252.18813425,9.6401353196009
"1867","Ross's Goose","Anser rossii","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",14.8745284405462,2.28223257987847,2883537.62562015,9.79853201313828
"1868","Bristle-thighed Curlew","Numenius tahitiensis","Charadriiformes","Scolopacidae (Sandpipers and Allies)",14.8947355952136,2.24370244085843,2942398.41811146,9.42817400274238
"1869","Black-necked Weaver","Ploceus nigricollis","Passeriformes","Ploceidae (Weavers and Allies)",14.9068248710815,2.30893239634836,2978185.77002549,10.0636749017227
"1870","Pin-tailed Sandgrouse","Pterocles alchata","Pterocliformes","Pteroclidae (Sandgrouse)",14.9049866618416,2.21855804799766,2972716.27000768,9.19406390416373
"1871","White-fronted Nunbird","Monasa morphoeus","Galbuliformes","Bucconidae (Puffbirds)",14.9517058254542,2.29184281702202,3114894.45079363,9.89315216224663
"1872","Pied Honeyeater","Certhionyx variegatus","Passeriformes","Meliphagidae (Honeyeaters)",14.8922381579172,2.23812021845821,2935059.13108041,9.37569046231603
"1873","Western Gerygone","Gerygone fusca","Passeriformes","Acanthizidae (Thornbills and Allies)",14.8783285034398,2.29058616250827,2894516.09618153,9.88072769619247
"1874","African Black-headed Oriole","Oriolus larvatus","Passeriformes","Oriolidae (Old World Orioles)",14.8796688160482,2.34856134054352,2898398.2536717,10.4704954066916
"1875","Chestnut-bellied Seed-Finch","Sporophila angolensis","Passeriformes","Thraupidae (Tanagers and Allies)",14.8553614597956,2.30654463856047,2828795.21472142,10.0396739492351
"1876","Magellanic Cormorant","Phalacrocorax magellanicus","Suliformes","Phalacrocoracidae (Cormorants and Shags)",14.9104575636977,2.26074438369686,2989024.27804685,9.59022531779339
"1877","Jouanin's Petrel","Bulweria fallax","Procellariiformes","Procellariidae (Shearwaters and Petrels)",14.8960342821665,2.28720882286895,2946222.15492831,9.84741341137253
"1878","Western Olivaceous Warbler","Iduna opaca","Passeriformes","Acrocephalidae (Reed Warblers and Allies)",14.8845856314236,2.28547276911002,2912684.23475479,9.83033260319452
"1879","White-throated Magpie-Jay","Calocitta formosa","Passeriformes","Corvidae (Crows, Jays, and Magpies)",14.8769826799512,2.29036680033847,2890623.20858863,9.87856047603758
"1880","Relict Gull","Ichthyaetus relictus","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)",14.8967928326485,2.30488833206126,2948457.86100495,10.023058935599
"1881","Lesser Coucal","Centropus bengalensis","Cuculiformes","Cuculidae (Cuckoos)",14.864380507006,2.3126798388752,2854423.65062368,10.1014586971091
"1882","Black-faced Quailfinch","Ortygospiza atricollis","Passeriformes","Estrildidae (Waxbills and Allies)",14.8703743517718,2.24855042420044,2871583.99974004,9.47399260743011
"1883","White-eared Hummingbird","Hylocharis leucotis","Caprimulgiformes","Trochilidae (Hummingbirds)",14.8639153326716,2.32194638538246,2853096.15478432,10.1954993771548
"1884","Gray Go-away-bird","Corythaixoides concolor","Musophagiformes","Musophagidae (Turacos)",14.9190845487704,2.27990429606867,3014922.09529694,9.7757447875504
"1885","Orange-bellied Flowerpecker","Dicaeum trigonostigma","Passeriformes","Dicaeidae (Flowerpeckers)",14.8166748047827,2.30339903541832,2721448.42242011,10.008142737653
"1886","Lake Duck","Oxyura vittata","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",14.8635843382933,2.36337287002076,2852151.95226772,10.6267336655336
"1887","Red-billed Pigeon","Patagioenas flavirostris","Columbiformes","Columbidae (Pigeons and Doves)",14.9093933401096,2.28542672985191,2985844.97994661,9.82988003239264
"1888","Paradise Shelduck","Tadorna variegata","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",14.8577975420584,2.23344969641385,2835694.79312747,9.33200319392109
"1889","Yellow-plumed Honeyeater","Ptilotula ornata","Passeriformes","Meliphagidae (Honeyeaters)",14.8423716793633,2.30383128951156,2792287.41349747,10.0124697334306
"1890","Green-winged Pytilia","Pytilia melba","Passeriformes","Estrildidae (Waxbills and Allies)",14.8594674578967,2.31350236864387,2840434.12081272,10.1097708656287
"1891","Red-billed Oxpecker","Buphagus erythrorhynchus","Passeriformes","Buphagidae (Oxpeckers)",14.8558332274119,2.31334627056041,2830130.06354134,10.1081928729365
"1892","Little Spiderhunter","Arachnothera longirostra","Passeriformes","Nectariniidae (Sunbirds and Spiderhunters)",14.84144719284,2.3235183221501,2789707.17429647,10.2115386605571
"1893","Brown-and-yellow Marshbird","Pseudoleistes virescens","Passeriformes","Icteridae (Troupials and Allies)",14.8841965084885,2.26392613476957,2911551.06300204,9.62078762252556
"1894","Nile Valley Sunbird","Hedydipna metallica","Passeriformes","Nectariniidae (Sunbirds and Spiderhunters)",14.8493814178285,2.28143174884452,2811929.38008209,9.79068818582435
"1895","Austral Blackbird","Curaeus curaeus","Passeriformes","Icteridae (Troupials and Allies)",14.8501825111412,2.30663318868042,2814182.90042368,10.0405630029299
"1896","Black-capped Antwren","Herpsilochmus atricapillus","Passeriformes","Thamnophilidae (Typical Antbirds)",14.8440199887383,2.2409697638916,2796893.76231982,9.40244501931693
"1897","Blackish Oystercatcher","Haematopus ater","Charadriiformes","Haematopodidae (Oystercatchers)",14.8316245753219,2.31721593204105,2762439.08896576,10.1473839367058
"1898","Lesser Elaenia","Elaenia chiriquensis","Passeriformes","Tyrannidae (Tyrant Flycatchers)",14.8964051240108,2.32335556520542,2947314.93999884,10.2098767969679
"1899","Black-winged Ground-Dove","Metriopelia melanoptera","Columbiformes","Columbidae (Pigeons and Doves)",14.8671597115948,2.27503659361603,2862367.71190433,9.72827499880635
"1900","Northern Crombec","Sylvietta brachyura","Passeriformes","Macrosphenidae (African Warblers)",14.8375902626488,2.32741389442667,2778968.1915372,10.2513960306928
